lambda,Aki,fik,Acc,Ei,Ek,Type,
1277.658,2.9e+07,1.4e-02,D+,977.0498,79245.926,,
1277.686,2.0e+07,1.0e-02,D+,977.0498,79243.462,,
1279.097,4.1e+08,5.0e-02,D+,25787.5816,103967.555,,
1280.527,2.3e+07,4.6e-03,D+,20805.7632,98898.591,,
1283.060,2.7e+07,6.8e-03,D+,20340.2461,98278.852,,
1286.910,1.6e+07,5.e-03,D,20830.5534,98536.011,,
1287.418,6.e+06,1.5e-03,D,20830.5534,98505.022,,
1289.095,1.8e+07,3.0e-03,D,13474.4474,91048.225,,
1289.311,2.7e+07,9.e-03,D+,20830.5534,98391.320,,
1290.187,1.7e+08,2.8e-02,D+,20830.5534,98338.357,,
1290.774,6.e+07,1.6e-02,E,32875.6409,110348.401,,
1291.579,1.4e+07,2.3e-03,D,13474.4474,90898.878,,
1291.862,4.2e+06,1.4e-03,D,27620.4033,105028.537,,
1293.039,3.3e+07,8.e-03,E,32909.883,110247.006,,
1294.905,2.7e+07,7.e-03,D,13673.2045,90898.878,,
1296.080,1.7e+08,2.9e-02,D+,13474.4474,90629.811,,
1296.288,2.6e+07,1.3e-02,D,13904.8604,91048.225,,
1297.509,1.5e+07,3.8e-03,E,32909.883,109980.635,,
1297.930,3.0e+07,8.e-03,D+,20805.7632,97851.332,,
1298.114,1.6e+08,4.1e-02,D+,26932.7348,103967.555,,
1299.283,1.0e+07,3.6e-03,D,13673.2045,90638.823,,
1299.427,9.e+07,2.3e-02,D+,13673.2045,90629.811,,
1299.995,7.e+06,2.5e-03,D,13474.4474,90397.873,,
1300.643,1.0e+07,1.7e-03,D,27620.4033,104505.359,,
1301.198,7.e+06,1.8e-03,D,32909.883,109762.239,,
1301.560,7.e+06,1.4e-03,D,26352.7671,103183.69,,
1303.033,2.4e+07,6.e-03,E,32875.6409,109619.704,,
