nu,a,elower,gp,gpp,statep,statepp,nu-err,nu-ref
2.833307,1.057e-06,778.327,216,216,ElecStateLabel=X;v12=1;J=13;K=10;rovibSym=E1,ElecStateLabel=X;v12=1;J=13;K=11;rovibSym=E1,5,569
2.84715,1.281e-06,800.802,232,232,ElecStateLabel=X;v12=1;J=14;K=10;rovibSym=E1,ElecStateLabel=X;v12=1;J=14;K=11;rovibSym=E1,5,569
2.852012,6.869e-09,817.815,360,360,ElecStateLabel=X;v12=1;J=22;K=8;rovibSym=E1,ElecStateLabel=X;v12=1;J=22;K=6;rovibSym=E1,5,569
2.85424,1.125e-06,49.035,104,120,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=2;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=7;K=1;rovibSym=E2,5,569
2.861381,1.466e-06,824.879,248,248,ElecStateLabel=X;v12=1;J=15;K=10;rovibSym=E1,ElecStateLabel=X;v12=1;J=15;K=11;rovibSym=E1,5,569
2.872371,2.853e-09,73.561,152,136,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=9;K=1;rovibSym=E2,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=8;K=2;rovibSym=E1,5,569
2.87588,1.621e-06,850.558,264,264,ElecStateLabel=X;v12=1;J=16;K=10;rovibSym=E1,ElecStateLabel=X;v12=1;J=16;K=11;rovibSym=E1,5,569
2.889185,6.841e-07,68.493,120,104,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=7;K=2;rovibSym=A-,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=3;rovibSym=A-,5,569
2.890521,1.752e-06,877.837,280,280,ElecStateLabel=X;v12=1;J=17;K=10;rovibSym=E1,ElecStateLabel=X;v12=1;J=17;K=11;rovibSym=E1,5,569
2.898774,6.917e-07,68.493,120,104,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=7;K=2;rovibSym=A+,ElecStateLabel=X;v1=0;v2=0;v3=0;v4=0;J=6;K=3;rovibSym=A+,5,569
